Category,Resume
Data Science,"Skills:
•	Programming Languages: Python, pandas, numpy, scipy, scikit-learn, matplotlib, SQL, Java, JavaScript, jQuery
•	Machine Learning: Regression, SVM, Naive Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language Processing, Dimensionality Reduction, Topic Modelling (LDA, NMF), PCA, Neural Nets
•	Database: MySQL, SQL Server, Cassandra, Hbase, ElasticSearch
•	Visualizations: D3.js, DC.js, Plotly, Kibana, Matplotlib, ggplot, Tableau
•	Others: Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, Computer Vision, OpenCV, and understanding of Deep Learning
Education Details:
•	Data Science Assurance Associate, Ernst & Young LLP
Skill Details:
•	JavaScript (Experience: 24 months)
•	jQuery (Experience: 24 months)
•	Python (Experience: 24 months)
Company Details:
•	Company: Ernst & Young LLP
Description: Fraud Investigations and Dispute Services Assurance, TECHNOLOGY ASSISTED REVIEW (TAR): Technology Assisted Review assists in accelerating the review process and running analytics to generate reports. Core member of a team that helped in developing an automated review platform tool from scratch for assisting E-discovery domain. This tool implements predictive coding and topic modelling by automating reviews resulting in reduced labor costs and time spent during the lawyer's review. Understand the end-to-end flow of the solution, doing research and development for classification models, predictive analysis, and mining of the information present in text data. Worked on analyzing the outputs and precision monitoring for the entire tool. TAR assists in predictive coding, topic modelling from the evidence by following EY standards. Developed the classifier models to identify red flags and fraud-related issues.
Tools/Technologies:
•	Python: scikit-learn, tf-idf, word2vec, doc2vec, cosine similarity, Naive Bayes, LDA, NMF for topic modelling, Vader and text blob for sentiment analysis Matplotlib, Tableau dashboard for reporting Multiple Data Science and Analytic Projects:
•	USA Clients Text Analytics: Motor Vehicle Customer Review Data. Received customer feedback survey data for the past year. Performed sentiment (Positive/Negative/Neutral) and time-series analysis on customer comments across all 4 categories. Created a heat map of terms by survey category based on the frequency of words. Extracted Positive and Negative words across all the Survey categories and plotted Word cloud. Created customized Tableau dashboards for effective reporting and visualizations.
•	Chatbot: Developed a user-friendly chatbot for one of our products which handles simple questions about hours of operation, reservation options, and so on. This chatbot serves entire product-related questions, giving an overview of the tool via QA platform and also gives recommendation responses so that user question to build a chain of relevant answers. This tool has intelligence to build the pipeline of questions as per user requirements and asks relevant recommended questions.
•	Information Governance: Organizations make informed decisions about all of the information they store. The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk. Scan data from multiple sources of formats and parse different file formats, extract metadata information, push results for indexing ElasticSearch, and create customized interactive dashboards using Kibana. Preforming ROT Analysis on the data which gives information about data that helps identify content that is either Redundant, Outdated, or Trivial. Preforming full-text search analysis on ElasticSearch with predefined methods that can tag as PII (personally identifiable information) social security numbers, addresses, names, etc., which are frequently targeted during cyber attacks.
•	Fraud Analytic Platform: Fraud Analytics and investigative platform to review all red flag cases. FAP is a Fraud Analytics and investigative platform with an inbuilt case manager and a suite of Analytics for various ERP systems. It can be used by clients to interrogate their Accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analytics.
"
Data Science,"Objective: To obtain a challenging position in the field of Electrical and Electronics Engineering that will allow me to utilize my technical skills and knowledge to contribute to the growth of the organization.
Areas of Interest:
•	Deep Learning
•	Control System Design
•	Programming in Python
•	Electric Machinery
•	Web Development
•	Analytics
Technical Activities:
Hindustan Aeronautics Limited Bangalore (4 weeks): worked under the guidance of Mr. Satish, Senior Engineer in the hangar of Mirage 2000 fighter aircraft
Technical Skills:
•	Programming: MATLAB, Python, and Java
•	LabView
•	Python web frameworks: Django, Flask
•	LTSPICE (intermediate)
•	Languages: MIPOWER (intermediate)
•	GitHub
•	GitBash
•	Jupyter Notebook
•	Xampp
•	MySQL Basics
Python Software Packages:
•	Interpreters: Anaconda, Python2, Python3
•	Pycharm
•	Java IDE: Eclipse
Operating Systems:
•	Windows
•	Ubuntu
•	Debian
•	Kali Linux
Education Details:
•	January 2019: B. Tech Electrical and Electronics Engineering, Manipal Institute of Technology
•	January 2015: DEEKSHA CENTER
•	January 2013: Little Flower Public School
•	August 2000: Manipal Academy of Higher
Skill Details:
•	Data Analysis (Experience: Less than 1 year)
•	Excel (Experience: Less than 1 year)
•	Machine Learning (Experience: Less than 1 year)
•	Mathematics (Experience: Less than 1 year)
•	Python (Experience: Less than 1 year)
•	Matlab (Experience: Less than 1 year)
•	Electrical Engineering (Experience: Less than 1 year)
•	SQL (Experience: Less than 1 year)
Company Details:
•	Company: THEMATHCOMPANY
Description: I am currently working with a Casino based operator (name not disclosed) in Macau. I need to segment the customers who visit their property based on the value the patrons bring into the company. My role is to prove that the segmentation can be done in a much better way than the current system which they have with proper numbers to back it up. Henceforth, they can implement a target marketing strategy to attract customers who add value to the business.
"
Data Science,"Skills:
•	R
•	Python
•	SAP HANA Tableau
•	SAP HANA SQL
•	SAP HANA PAL
•	MS SQL
•	SAP Lumira
•	C
•	Linear Programming
•	Data Modelling
•	Advance Analytics
•	SCM Analytics
•	Retail Analytics
•	Social Media Analytics
•	NLP
Education Details:
•	January 2017 to January 2018: PGDM Business Analytics, Great Lakes Institute of Management, Illinois Institute of Technology
•	January 2013: Bachelor of Engineering in Electronics and Communication, Bengaluru Karnataka, New Horizon College of Engineering, Bangalore, Visvesvaraya Technological University
Skill Details:
•	Linear Programming (Experience: 6 months)
•	Retail (Experience: 6 months)
•	Retail Marketing (Experience: 6 months)
•	SCM (Experience: 6 months)
•	SQL (Experience: Less than 1 year months)
•	Deep Learning (Experience: Less than 1 year months)
•	Machine learning (Experience: Less than 1 year months)
•	Python (Experience: Less than 1 year months)
•	R (Experience: Less than 1 year months)
Company Details:
•	Company: Deloitte USI
•	Description: The project involved analyzing historic deals and coming up with insights to optimize future deals.
•	Role: Was given raw data, carried out end-to-end analysis, and presented insights to client.
•	Key Responsibilities: Extract data from client systems across geographies; understand and build reports in Tableau; infer meaningful insights to optimize prices and find out process blockades.
Tools/Technologies:
•	R
•	Tableau
•	Python
•	SAP HANA
•	SAP AO
Project Details:
       Project Name: Handwriting Recognition
•	Consultant: 3 months
•	Description: The project involved taking handwritten images and converting them to digital text images by object detection and sentence creation.
•	Role: Developed sentence correction functionality.
•	Key Responsibilities: Gather data large enough to capture all English words; train LSTM models on words.
•	Technical Environment: Python
Project Name: SWIFT
•	Consultant: 8 months
•	Description: The project was to develop an analytics infrastructure on top of SAP S/4. It would allow users to view financial reports to respective departments. Reporting also included forecasting expenses.
•	Role: Led the offshore team.
•	Key Responsibilities: Design and develop data models for reporting; develop ETL for data flow; validate various reports.
•	Technical Environment: SAP HANA, Tableau, SAP AO
Project Name: Clinical Healthcare System
•	Consultant: 2 months
•	Description: The project was to develop an analytics infrastructure on top of Argus. It would allow users to query faster and provide advance analytics capabilities.
•	Role: Involved from design to deploy phase, performed a lot of data restructuring, and built models for insights.
•	Key Responsibilities: Design and develop data models for reporting; develop and deploy analytical models; validate various reports.
•	Technical Environment: Data Modelling, SAP HANA, Tableau, NLP
Project Name: Consumption Based Planning for Flowers Foods
•	Consultant: 8 months
•	Description: The project involved setting up of CRM and CBP modules.
•	Role: Involved in key data decomposition activities and setting up the base for future year forecast. Over the course of the project, developed various models and carried out key performance improvements.
•	Key Responsibilities: Design and develop HANA models for decomposition; develop data flow for forecast; develop various views for reporting of customer sales funds; validate various reports in BOBJ.
•	Technical Environment: Data Modelling, SAP HANA, BOBJ, Time Series Forecasting
Project Name: Internal Initiative
•	Consultant: N/A
•	Description: Industry: FMCG. The initiative involved setting up of HANA-Python interface and advance analytics on Python. Over the course, successfully segmented data into five core segments using K means and carried out RFM analysis in Python. Also developed algorithm to categorize any new customer under the defined buckets.
•	Technical Environment: Anaconda3, Python3.6, HANA SPS12
Project Name: Invoice State Detection
•	Consultant: 1 month
•	Description: The initiative was to reduce the manual effort in verifying closed and open invoices manually. It involved development of a decision tree to classify open/closed invoices. This enabled effort reduction by 60%.
•	Technical Environment: R, SAP PAL, SAP HANA SPS12
Project Name: In Process Analytics for SAP
•	Consultant: 19 months
•	Description: The project involved development of SAP analytics tool - In Process Analytics (IPA). My role was to develop database objects and data models to provide operational insights to clients.
•	Role: Developed various finance-related KPIs and spearheaded various deployments. Introduced SAP Predictive analytics to reduce development time and reuse functionalities for KPIs and prepared production planning reports.
•	Key Responsibilities: Involved in information gather phase; designed and implemented SAP HANA data modelling using Attribute View, Analytic View, and Calculation View; developed various KPIs individually using complex SQL scripts in Calculation views; created procedures in HANA Database; took ownership and developed Dashboard functionality; involved in building data processing algorithms to be executed in R server for cluster analysis.
•	Technical Environment: R, SAP HANA, T-SQL
Project Name: ATAS (Aventurine Testing Accelerator for SAP)
•	Consultant: 21 months
•	Description: Role was to take care of all development activities for the ATAS tool and complete various deployments of the product. Actively involved in maintenance of the database servers Production Quality.
•	Key Responsibilities: Analyzing business requirements, understanding the scope, getting requirements clarified, interacting with business, and further transforming all requirements to generate attribute mapping documents and reviewing mapping specification documentation; create/update database objects like tables, views, stored procedures, function, and packages; monitored SQL Server Error Logs and Application Logs through SQL Server Agent; prepared Data Flow Diagrams, Entity Relationship Diagrams using UML; responsible for designing, developing, and normalization of database tables; experience in performance tuning using SQL profiler; involved in QA, UAT, knowledge transfer, and support activities.
•	Technical Environment: SQL Server 2008-2014, Visual Studio 2010, Windows Server Performance Monitor, SQL Server Profiler, C, PL-SQL, T-SQL.
"
Data Science,"Skills:
•	C Basics
•	IOT
•	Python
•	MATLAB
•	Data Science
•	Machine Learning
•	HTML
•	Microsoft Word
•	Microsoft Excel
•	Microsoft Powerpoint
Recognition:
•	Secured First place in B Tech
Education Details:
•	August 2014 to May 2018: B Tech, Aurora's Scientific and Technological Institute, Ghatkesar Andhra Pradesh
•	June 2012 to May 2014: Secondary Education, SR Junior College, Warangal Telangana
Skill Details:
•	MS Office (Experience: Less than 1 year months)
•	C (Experience: Less than 1 year months)
•	Machine Learning (Experience: Less than 1 year months)
•	Data Science (Experience: Less than 1 year months)
•	MATLAB (Experience: Less than 1 year months)
"
Data Science,"Skills:
•	Python
•	Tableau
•	Data Visualization
•	R Studio
•	Machine Learning
•	Statistics
•	IABAC Certified Data Scientist
Education Details:
•	January 2017: B Tech Computer Science Engineering, Indo Global College of Engineering, Mohali Punjab
Experience Details:
Data Science Consultant
•	Duration: 24 months
•	Company: Datamites
•	Description: Analyzed and processed complex data sets using advanced querying visualization and analytics tools. Responsible for loading, extracting, and validation of client data. Worked on manipulating, cleaning, and processing data using Python. Used Tableau for data visualization.
Data Science Consultant
•	Duration: 13 months
•	Company: Heretic Solutions Pvt Ltd
•	Description: Worked closely with business to identify issues and used data to propose solutions for effective decision making. Manipulated, cleansed, and processed data using Python, Excel, and R. Analyzed raw data, drew conclusions, and developed recommendations. Used machine learning tools and statistical techniques to produce solutions to problems.
Skill Details:
•	Machine Learning (Experience: 24 months)
•	Python (Experience: 24 months)
•	Solutions (Experience: 24 months)
•	Data Science (Experience: 24 months)
•	Data Visualization (Experience: 24 months)
•	Tableau (Experience: 24 months)
"
Data Science,"Personal Skills:
•	Ability to quickly grasp technical aspects and willingness to learn
•	High energy levels
•	Result oriented
Education Details:
•	January 2018: Master of Engineering Computer Technology Application, Truba Institute of Engineering Information Technology, Bhopal Madhya Pradesh
•	January 2010: B.E. Computer Science, RKDF Institute of Science and Technology College of Engineering, Bhopal Madhya Pradesh
•	January 2006: Polytechnic Information Technology, SATI Engineering College in Vidisha, Vidisha Madhya Pradesh
•	January 2003: M.Tech Thesis Detail, BMCH School in Ganj Basoda
Experience Details:
Data Science (Experience: 6 months)
•	Key Skills: Experience in Machine Learning, Deep Learning, NLP, Python, SQL, Web Scraping, Good knowledge in computer subjects and ability to update
Skill Details:
•	Experience in Machine Learning (Experience: Less than 1 year months)
•	Deep Learning (Experience: Less than 1 year months)
•	NLP (Experience: Less than 1 year months)
•	Python (Experience: Less than 1 year months)
•	SQL (Experience: Less than 1 year months)
•	Web Crawling (Experience: Less than 1 year months)
•	HTML (Experience: Less than 1 year months)
•	CSS (Experience: Less than 1 year months)
Company Details:
Company: RNT AI Technology Solution
•	Description: Text classification using Machine learning Algorithms with python. Practical knowledge of Deep learning algorithms such as Recurrent Neural Networks (RNN). Develop custom data models and algorithms to apply to dataset. Experience with Python packages like Pandas, Scikit-learn, Tensor Flow, Numpy, Matplotlib, NLTK. Comfort with SQL, MYSQL. Sentiment analysis. Apply leave Dataset using classification technique like Tf-idf, LSA with cosine similarity using Machine learning Algorithms. Web crawling using Selenium web driver and Beautiful Soup with python.
Company: Life Insurance Corporation of India, Bhopal
•	Description: Explaining policy features and the benefits. Updated knowledge of life insurance products and shared with customers.
"
Data Science,"Skills:
•	Python
•	Tableau
•	Data Visualization
•	R Studio
•	Machine Learning
•	Statistics
•	IABAC Certified Data Scientist
Education Details:
•	January 2017: B Tech Computer Science Engineering, Indo Global College of Engineering, Mohali Punjab
Experience Details:
Data Science Consultant
•	Duration: 24 months
•	Company: Datamites
•	Description: Analyzed and processed complex data sets using advanced querying visualization and analytics tools. Responsible for loading, extracting, and validation of client data. Worked on manipulating, cleaning, and processing data using Python. Used Tableau for data visualization.
Data Science Consultant
•	Duration: 13 months
•	Company: Heretic Solutions Pvt Ltd
•	Description: Worked closely with business to identify issues and used data to propose solutions for effective decision making. Manipulated, cleansed, and processed data using Python, Excel, and R. Analyzed raw data, drew conclusions, and developed recommendations. Used machine learning tools and statistical techniques to produce solutions to problems.
Skill Details:
•	Machine Learning (Experience: 13 months)
•	Python (Experience: 24 months)
•	Solutions (Experience: 24 months)
•	Data Science (Experience: 24 months)
•	Data Visualization (Experience: 24 months)
•	Tableau (Experience: 24 months)
Company Details:
Company: Datamites
•	Description: Analyzed and processed complex data sets using advanced querying visualization and analytics tools. Responsible for loading, extracting, and validation of client data. Worked on manipulating, cleaning, and processing data using Python. Used Tableau for data visualization.
Company: Heretic Solutions Pvt Ltd
•	Description: Worked closely with business to identify issues and used data to propose solutions for effective decision making. Manipulated, cleansed, and processed data using Python, Excel, and R. Analyzed raw data, drew conclusions, and developed recommendations. Used machine learning tools and statistical techniques to produce solutions to problems.
"
Data Science,"Personal Skills:
•	Ability to quickly grasp technical aspects and willingness to learn
•	High energy levels
•	Result oriented
Education Details:
•	January 2018: Master of Engineering Computer Technology Application, Truba Institute of Engineering Information Technology, Bhopal Madhya Pradesh
•	January 2010: B.E. Computer Science, RKDF Institute of Science and Technology College of Engineering, Bhopal Madhya Pradesh
•	January 2006: Polytechnic Information Technology, SATI Engineering College in Vidisha, Vidisha Madhya Pradesh
•	January 2003: M.Tech Thesis Detail, BMCH School in Ganj Basoda
Experience Details:
•	Data Science (Experience: 6 months)
•	Key Skills: Experience in Machine Learning, Deep Learning, NLP, Python, SQL, Web Scraping, Good knowledge in computer subjects and ability to update
Skill Details:
•	Experience in Machine Learning (Experience: Less than 1 year months)
•	Deep Learning (Experience: Less than 1 year months)
•	NLP (Experience: Less than 1 year months)
•	Python (Experience: Less than 1 year months)
•	SQL (Experience: Less than 1 year months)
•	Web Crawling (Experience: Less than 1 year months)
•	HTML (Experience: Less than 1 year months)
•	CSS (Experience: Less than 1 year months)
Company Details:
Company: RNT AI Technology Solution
•	Description: Text classification using Machine learning Algorithms with python. Practical knowledge of Deep learning algorithms such as Recurrent Neural Networks (RNN). Develop custom data models and algorithms to apply to dataset. Experience with Python packages like Pandas, Scikit-learn, Tensor Flow, Numpy, Matplotlib, NLTK. Comfort with SQL, MYSQL. Sentiment analysis. Apply leave Dataset using classification technique like Tf-idf, LSA with cosine similarity using Machine learning Algorithms. Web crawling using Selenium web driver and Beautiful Soup with python.
Company: Life Insurance Corporation of India, Bhopal
•	Description: Explaining policy features and the benefits. Updated knowledge of life insurance products and shared with customers.
"
Data Science,"Skills:
•	Programming Languages: Python, pandas, numpy, scipy, scikit-learn, matplotlib, SQL, Java, JavaScript, jQuery
•	Machine Learning: Regression, SVM, Naive Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language Processing, Dimensionality Reduction, Topic Modelling (LDA, NMF), PCA, Neural Nets
•	Database: MySQL, SQL Server, Cassandra, Hbase, ElasticSearch
•	Visualizations: D3.js, DC.js, Plotly, Kibana, Matplotlib, ggplot, Tableau
•	Others: Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, Computer Vision, OpenCV, and understanding of Deep Learning
Education Details:
•	Data Science Assurance Associate, Ernst & Young LLP
Skill Details:
•	JavaScript (Experience: 24 months)
•	jQuery (Experience: 24 months)
•	Python (Experience: 24 months)
Company Details:
•	Company: Ernst & Young LLP
Description: Fraud Investigations and Dispute Services Assurance, TECHNOLOGY ASSISTED REVIEW (TAR): Technology Assisted Review assists in accelerating the review process and running analytics to generate reports. Core member of a team that helped in developing an automated review platform tool from scratch for assisting E-discovery domain. This tool implements predictive coding and topic modelling by automating reviews resulting in reduced labor costs and time spent during the lawyer's review. Understand the end-to-end flow of the solution, doing research and development for classification models, predictive analysis, and mining of the information present in text data. Worked on analyzing the outputs and precision monitoring for the entire tool. TAR assists in predictive coding, topic modelling from the evidence by following EY standards. Developed the classifier models to identify red flags and fraud-related issues.
Tools/Technologies:
•	Python: scikit-learn, tf-idf, word2vec, doc2vec, cosine similarity, Naive Bayes, LDA, NMF for topic modelling, Vader and text blob for sentiment analysis Matplotlib, Tableau dashboard for reporting Multiple Data Science and Analytic Projects:
•	USA Clients Text Analytics: Motor Vehicle Customer Review Data. Received customer feedback survey data for the past year. Performed sentiment (Positive/Negative/Neutral) and time-series analysis on customer comments across all 4 categories. Created a heat map of terms by survey category based on the frequency of words. Extracted Positive and Negative words across all the Survey categories and plotted Word cloud. Created customized Tableau dashboards for effective reporting and visualizations.
•	Chatbot: Developed a user-friendly chatbot for one of our products which handles simple questions about hours of operation, reservation options, and so on. This chatbot serves entire product-related questions, giving an overview of the tool via QA platform and also gives recommendation responses so that user question to build a chain of relevant answers. This tool has intelligence to build the pipeline of questions as per user requirements and asks relevant recommended questions.
•	Information Governance: Organizations make informed decisions about all of the information they store. The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk. Scan data from multiple sources of formats and parse different file formats, extract metadata information, push results for indexing ElasticSearch, and create customized interactive dashboards using Kibana. Preforming ROT Analysis on the data which gives information about data that helps identify content that is either Redundant, Outdated, or Trivial. Preforming full-text search analysis on ElasticSearch with predefined methods that can tag as PII (personally identifiable information) social security numbers, addresses, names, etc., which are frequently targeted during cyber attacks.
•	Fraud Analytic Platform: Fraud Analytics and investigative platform to review all red flag cases. FAP is a Fraud Analytics and investigative platform with an inbuilt case manager and a suite of Analytics for various ERP systems. It can be used by clients to interrogate their Accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analytics.
"
Data Science,"Objective: To obtain a challenging position in the field of Electrical and Electronics Engineering that will allow me to utilize my technical skills and knowledge to contribute to the growth of the organization.
Areas of Interest:
•	Deep Learning
•	Control System Design
•	Programming in Python
•	Electric Machinery
•	Web Development
•	Analytics
Technical Activities:
Hindustan Aeronautics Limited Bangalore (4 weeks): worked under the guidance of Mr. Satish, Senior Engineer in the hangar of Mirage 2000 fighter aircraft
Technical Skills:
•	Programming: MATLAB, Python, and Java
•	LabView
•	Python web frameworks: Django, Flask
•	LTSPICE (intermediate)
•	Languages: MIPOWER (intermediate)
•	GitHub
•	GitBash
•	Jupyter Notebook
•	Xampp
•	MySQL Basics
Python Software Packages:
•	Interpreters: Anaconda, Python2, Python3
•	Pycharm
•	Java IDE: Eclipse
Operating Systems:
•	Windows
•	Ubuntu
•	Debian
•	Kali Linux
Education Details:
•	January 2019: B. Tech Electrical and Electronics Engineering, Manipal Institute of Technology
•	January 2015: DEEKSHA CENTER
•	January 2013: Little Flower Public School
•	August 2000: Manipal Academy of Higher
Skill Details:
•	Data Analysis (Experience: Less than 1 year)
•	Excel (Experience: Less than 1 year)
•	Machine Learning (Experience: Less than 1 year)
•	Mathematics (Experience: Less than 1 year)
•	Python (Experience: Less than 1 year)
•	Matlab (Experience: Less than 1 year)
•	Electrical Engineering (Experience: Less than 1 year)
•	SQL (Experience: Less than 1 year)
Company Details:
•	Company: THEMATHCOMPANY
Description: I am currently working with a Casino based operator (name not disclosed) in Macau. I need to segment the customers who visit their property based on the value the patrons bring into the company. My role is to prove that the segmentation can be done in a much better way than the current system which they have with proper numbers to back it up. Henceforth, they can implement a target marketing strategy to attract customers who add value to the business.
"
