title,company,description,onsite_remote,location,posted_date,link
Data Analyst,VINCI,"ABOUT USViaPlusis a global mobility company in the Intelligent Transportation Systems (ITS) market, specializing in revenue and services management solutions for the transportation industry. Our full-featured, single-account back-office technology facilitates the high-volume transactions, customer operations, and data analytics required for seamless multimodal mobility. As a VINCI Highways subsidiary, we are committed to technical innovation and to promoting a positive mobility experience for all.VINCI Highways, a VINCI Concessions subsidiary, is a leader in road concessions, operation and mobility services. We design, finance, build and operate motorways, bridges, tunnels, urban roads and mobility services on a network of 4,100 km in 15 countries. VINCI Highways leverages its expertise to deliver the highest performance and safety standards and treat drivers to a positive experience.VINCI Concessionsis an international player in transport infrastructure. We leverage our integrated model to design, finance, build, operate and maintain some 80 airports, motorways and rail projects in 23 countries, through our subsidiaries VINCI Airports, VINCI Highways and VINCI Railways. We are committed to shared growth with regions and are actively making mobility ever more sustainable, efficient and innovative.SUMMARYAct as the interface between the business and operations for providing analytical support for day-to-day operations. Gathers data from across the business, analyze it and translate the results into a non-technical language for team members of all backgrounds. Responsible for building data models to organize important data for different teams across the business and for monitoring and handling data. Assesses programs, schema and process flows to advise business stakeholders on ways to align data and operational statistics with the goal being to evaluate and synthesize data needed to gauge program performance as well as, to identify areas of efficiency and improved performance. Performs highly complex data analysis and data research work. Work involves conducting detailed analysis and extensive research on data and providing results in various formats. Monitors and implements measures to ensure data quality. Responsible for using standard statistical tools, methods and techniques to translate data into actionable insights using data visualization software. Works under limited supervision, with moderate latitude for the use of initiative and independent judgment.MAJOR DUTIES AND RESPONSIBILITIESThe following items outline the major duties and responsibilities in addition, other duties may be assigned. Consults with internal and external customers to identify user needs to compile and query data.Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats.Interprets results to identify significant differences in data.Identifies and interprets data patterns and trends and assesses data quality. Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders Performs data analysis using standard statistical modeling, graphic analysis, tools, methods, and techniques. Convert complex data sets into reports that can easily be understood.Identifies data gaps, errors, anomalies, inconsistencies, and redundancies by analyzing the content, structure, and relationships within data. Prepares comprehensive technical reports to present and interpret data. Troubleshoot and document operational, process and system defects.Extracting data from CRM and database systems to prepare routine reports as defined or answer ad-hoc senior leadership questions and requests.Analyzes unique operational events for root cause and reporting findings.Ability to understand questions, identify data required, synthesize reports, identify patterns, and anticipate additional areas of interest.Providing support for additional projects as required, including data to support planning for future growth.QUALIFICATIONS To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Must be self-starter.Ability to work with minimal direction in a fast paced / high-pressure environment.Ability to prioritize tasks and directly support the department managers.Good troubleshooting and error isolation skills.Excellent oral/written communication skills are required, including demonstrated ability to package analytical results into an executive summary and present to senior leadership. Advanced knowledge of Excel, Power BI, and SQLIntermediate skills of Word and PowerPoint; along with other MS Office products, such as Visio, Access Exercises logic and reasoning to define problems, establish facts and draw valid conclusions SUPERVISORY RESPONSIBILITIESThere are no supervisory responsibilities with this position.EDUCATION AND/OR EXPERIENCEBachelor’s degree in business, management, economics, accounting, finance, information system or significant progress towards a degree.4 years in data analysis, research, compilation, and/or report writing and design work experience.WORK ENVIRONMENT/PHYSICAL DEMANDSThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.While performing the duties of this job, the employee is regularly required to sit; use the computer for an extended period, use a keyboard for typing, and talk and hear. The employee is occasionally required to stand, walk, and reach with hands and arms and stoop and kneel. The employee must occasionally lift and/or move up to 15 pounds. Specific vision abilities required by this job include close vision, and ability to adjust focus.The noise level in the work environment is usually moderate.",onsite,"Austin, TX",2023-06-16,https://www.linkedin.com/jobs/view/data-analyst-at-vinci-3633511092?refId=X8PV26BRucV%2FvOfFsAg4KA%3D%3D&trackingId=jzZ8ojjcrewtZ3itV1k1Cg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Holovis,"Role PurposeDesign, develop, and implement advanced data analytics products and services to support exciting entertainment projects worldwide. You will provide insight across existing Holovis solutions, and support advanced capabilities of new Holovis solutions that become new, innovative stand-alone advanced Analytics systems in their own right.Key ObjectivesDeliver advanced Analytics products and services across three areas; Existing Holovis solutions, Analytics and AI capabilities in new Holovis SolutionsStandalone Analytics products and services e.g. Descriptive/Predictive/Prescriptive Models.Contribute to the design of a ‘Analytics as a Service’ (AaaS) model.Deliver a flexible and scalable development pipeline that allows rapid prototyping, model training, monitoring and continuous deployment across productionised products and services.Your experienceExperience working in a production-orientated environment, focusing on rapid prototyping and minimum viable product delivery.Experience in utilising distributed storage and processing systems to design innovative, scalable, low latency Data Products and services (internally and/or externally).Comfortable working collaboratively in a project-orientated environment with a variety of stakeholders and subject matter experts.Your SkillsMS Azure, EventHub, PowerBI, Databricks, Data Pipeline (eg. Apache NiFi), Apache Supersets and Postgres.Development of Reporting and VisualisationsRequirement gathering and documentationLinux administration & shell scripting.Strong SQL skills and a good understanding of data management principles.About YouYou have the right to live, work and drive in the USA, and happy to work at our facility in OrlandoYou are confident travelling globally, ready to travel to sites across the USA and worldwideYou enjoy working with diverse teams across multiple disciplines, countries and time zones",onsite,"Orlando, FL",2023-06-20,https://www.linkedin.com/jobs/view/data-analyst-at-holovis-3640876038?refId=X8PV26BRucV%2FvOfFsAg4KA%3D%3D&trackingId=Z51IoKeTioJuh4p6QsIcYg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Centripetal Crossfit,"About NYC Kids RISE:NYC Kids RISE is a nonprofit organization working with the City of New York and the NYC Department of Education to manage the Save for College Program (the Program). Through the Program, eligible students enrolled in an NYC public school (including participating charter schools), starting in kindergarten, automatically receive a free NYC Scholarship Account with an initial allocation of $100 by NYC Kids RISE on their behalf, invested in a NY 529 Direct Plan, and opportunities to receive additional rewards over time. Their families can open and connect their own college savings account on their child’s behalf, and communities can contribute to groups of these NYC Scholarship Accounts as both a targeted and universal platform for community-driven asset-building in every neighborhood. This approach draws from a variety of best practices and disciplines across the fields of asset building, child savings accounts, financial empowerment, education, community wealth building, urban poverty, neighborhood effects and social capital research, collective impact, and more. about NYC Kids RISE and the Save for College Program and from partners who helped build the platform during its pilot phase from 2017 to 2022. You can also view recent articles in, the, and the; and read more about NYC Kids RISE in a recent report by the Urban Institute.After a successful pilot phase in the communities of School District 30 in Queens, NYC Kids RISE expanded citywide during the 2021-2022 school year. This school year, there are approximately 145,000 students participating in the Program across more than 1,000 elementary schools that have an NYC Scholarship Account for their educational futures.Position Summary:NYC Kids RISE seeks a highly organized and details-oriented Data Analyst to join our growing team. Reporting to the Director of Research and Evaluation, the Data Analyst will have the main task of operating and maintaining a proprietary, vendor-provided record keeping database, and will help integrate and improve the ecosystem of data collection systems to streamline data requests, research and performance evaluation. They will also provide data analytics and research development support to help measure the Program’s impact and goals. The ideal candidate will have experience with data management in comparable database products such as Salesforce/SAP and a deep desire to advance NYC Kids RISE’s mission.Responsibilities will include but not be limited to:Support the management of NYC Kids RISE’s record keeping database, including performing daily data quality checks as well as recurring data exports and importsCreate queries in a proprietary query builder user interfacePerform QA testing and oversee product updatesDocument back-end processes and proceduresSet up and publish forms, events, custom fields, etc., in a logical, scalable, maintainable fashionHelp manage other data collection systems that feed into the database, and serve as a thought partner on how to best integrate these systemsEnsure secure handling of very sensitive data, including compliance with FERPA and other cybersecurity regulationsSupport growing team of system users, including provisioning access, updating permissions, answering questions, and responding to specific user issuesCreate and maintain training documentation for system usersLiaise with software vendor for resolution of issues, prioritization of feature requests, etc.Work with multiple teams, including Technology and Research and Evaluation, to streamline data collection and management processes across the organization, identifying and implementing ways to improve our systems in a fast-paced environmentSupport the Research and Evaluation team in using and analyzing collected data to manage performance of the Save for College Program and measure its impact in NYC neighborhoods Qualifications:Experience: 2-4 years of relevant professional experience, particularly in roles administering enterprise database applications (E.g. Salesforce, SAP) handling regulated data. Exposure to or previous experience working in organizations in the fields of government, financial institutions, asset building and financial capability, community development, education and/or community organizing are a plus.Technical: Knowledge of database technology basics and fluency in specific database technologies such as SQL, MySQL, and Postgres. Experience with scripting tools is a plusAnalytical: Ability to manipulate and analyze collected data to drive decision making is a plus. Familiarity with Microsoft Excel is required, but familiarity or experience with other analytical tools like ArcGIS, R and Python is a plus. Communication: Strong interpersonal skills, high levels of emotional intelligence and tendency to identify and amplify strengths in teammates; detail-oriented professional with demonstrated written, verbal, and presentational communication skills for various types of audiences. Project Management: Highly organized with proven ability to work cross-functionally, including ability to track, manage and execute work streams toward completion.Strategic Thinking and Problem Solving: Demonstrated ability to consider an issue, identify and anticipate needs and perspectives, propose solutions, elevate when necessary, and incorporate feedback effectively. Excellent research and presentation skills. Collaborative Spirit: Enjoys working as part of a team, but able to work independently; ability to have direct but empathetic conversations with leaders and staff at all levels of the organization; high degree of comfort with change and a fast-paced environment.NYC Kids RISE currently maintains a hybrid work environment where staff work both from home and in the office, as determined by the staff member's preferences as well as the needs of our organization and the specific responsibilities of individual roles and teams. Our offices are based in Long Island City (Queens, NY).To apply, a cover letter and resume are required. Incomplete applications will not be reviewed. Please list the name of the position, “Data Analyst” in the cover letter. The potential salary for this position is from $75,000 to $90,000 which represents a range commensurate with experience.NYC Kids Rise is an Equal Opportunity Employer. We do not discriminate in employment on the basis of basis of gender, religion, race, creed, color, national origin, citizenship status, age, disability, marital status, caregiver status, sexual orientation, gender identity or expression, military status, unemployed status, or any other characteristic protected by law.Powered by JazzHRwd3JOXDdLu",onsite,"New York, NY",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-centripetal-crossfit-3616969491?refId=X8PV26BRucV%2FvOfFsAg4KA%3D%3D&trackingId=YdzM1Ftp7VciBJV0K4HmPA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr Data Analyst,One Park Financial,"One Park Financial (OPF) is a fast-growing FinTech(Financial Technology) company headquartered in Coconut Grove, Florida. OPF connects small businesses with a wide variety of flexible financing and funding options to help entrepreneurs acquire the working capital they NEED to take their business to the next level.We want to work with high performing badasses that will play an integral part in our expansion of the company. We understand one thing: it all comes down to working with the right people and enabling them to do what they do best.The JR Data Analyst will report directly to the Director of Analytics and will be responsible for collecting, processing, and performing basic analysis on data sets, in order to support business decision-making. The ideal candidate will have a strong interest in data analysis and be eager to learn new skills. This position offers a great opportunity for a recent graduate or someone early in their career to gain valuable experience in a fast-paced, dynamic environment.Main ResponsibilitiesHandle Ad hoc reporting for key business stakeholders. Conducting basic statistical analysis on data sets. Design and maintain dashboards and reports to support Operations Analytics. Use Dashboards and Operation reports to recommend changes to the business that directly impact short-term and long-term outcomes for the business. Track reporting requests to effectively and efficiently complete tasks. Create Salesforce reports as required. Analyze data from multiple sources and proactively recommend changes to reports and operational processes. RequirementsMinimum 1-year experience in an analytic role. 4-year degree in Business Administration, Mathematics, Analytics, or Statistics. Proficiency in Excel and SQL.Python, PBI, Salesforce, and VBA are a bonus. Ability to identify business-relevant patterns in large sets of data. Strong analytical skills and attention to detail. Ability to work independently, under general direction. Well Organized, can handle a fast pace working environment. Excellent written communication skills. OPF is an Equal Opportunity Employer (EOE) and takes great pride in building a diverse work environment. Qualified applicants are considered for employment without regard to age, race, religion, gender, national origin, sexual orientation, disability, or veteran status.BenefitsWe offer a competitive compensation package and a comprehensive benefits program. Our Culture is amazing! We have been recipients of many consecutive distinguishing awards for being the employer of choice, best places to work in South Florida, and among others.",onsite,"Miami, FL",2023-05-28,https://www.linkedin.com/jobs/view/jr-data-analyst-at-one-park-financial-3642226739?refId=X8PV26BRucV%2FvOfFsAg4KA%3D%3D&trackingId=VbQEC5Rp3lr4WrK6QtIPsw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr data analyst,"KGS Technology Group, Inc","Company Description“ KGS Technology Group” situated in “Alpharetta Georgia” and we are a E-verified staffing company. so, we have some direct clients and some indirect clients all over the US company and based on the client’s requirements, we help the candidates to go ahead with the interviews and grab the opportunity. And we even help the international candidates with the immigration part either its CPT/OPT/HIB/GC sponsorship.Job DescriptionJob Title:  Jr Data Analyst Location: Seattle,WADuration: Long-term contractMUST HAVEResponsibilities:Work closely with project managers to understand and maintain focus on their analytics needs, including critical metrics and KPIs, and deliver actionable insights to relevant decision-makersProactively analyze data to answer key questions for stakeholders or yourself, with an eye on what drives business performance, and investigate and communicate which areas need improvement in efficiency and productivityCreate and maintain rich interactive visualizations through data interpretation and analysis, with reporting components from multiple data sourcesDefine and implement data acquisition and integration logic, selecting an appropriate combination of methods and tools within the defined technology stack to ensure optimal scalability and performance of the solutionDevelop and maintain databases by acquiring data from primary and secondary sources, and build scripts that will make our data evaluation process more flexible or scalable across datasetsRequired skills and qualifications:Three or more years of experience mining data as a data analystProven analytics skills, including mining, evaluation, and visualizationTechnical writing experience in relevant areas, including queries, reports, and presentationsStrong SQL or Excel skills, with aptitude for learning other analytics tools QualificationsRequired skills and qualifications:Three or more years of experience mining data as a data analystProven analytics skills, including mining, evaluation, and visualizationTechnical writing experience in relevant areas, including queries, reports, and presentationsStrong SQL or Excel skills, with aptitude for learning other analytics toolsAdditional InformationAll your information will be kept confidential according to EEO guidelines.",onsite,"San Jose, CA",2023-05-26,https://www.linkedin.com/jobs/view/jr-data-analyst-at-kgs-technology-group-inc-3617003884?refId=X8PV26BRucV%2FvOfFsAg4KA%3D%3D&trackingId=ezqUrmhV7wdAXo%2BNJdS%2F3Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Entry Level Data Analyst,Flexon Technologies Inc.,"Job DescriptionResponsibilities:Work hand-in-hand with the business side of an organization to help in process improvements.Working primarily on design and analysis in the areas of organization, planning cum information technology.Works as the middle man between the technical team and business team so as to assist in the development of requirements needed for the business.He/ She will be responsible for documenting customer requirements as outlined by the business users.The analyst’s role also includes making sure that the designs meet the company’s technical standards.Qualification And ExperienceEntry Level / Fresh Graduates / Engineers - BS / MS in Business/Data Analytics, Management Information systems, Computer Science ,Software engineering, IT, Industrial Engineering/Engineering management. Prior experience is a ""plus"" but not required. Candidates with strong communication/presentation skills, strong aptitude to learn and interest in Software programming, Testing or Business Analysis. Work Authorization: Must be authorized to work in the US",onsite,"Pleasanton, CA",2023-06-19,https://www.linkedin.com/jobs/view/entry-level-data-analyst-at-flexon-technologies-inc-3639824675?refId=X8PV26BRucV%2FvOfFsAg4KA%3D%3D&trackingId=M%2BTrSalIFm7PlUURCHtppg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Lockheed Martin,"The coolest jobs on this planet… or any other… are with Lockheed Martin Space.At the dawn of a new space age, Lockheed Martin is a pioneer, partner, innovator, and builder. Our amazing people are on a mission to make a difference in the world and every day we use our unique skills and experiences to create, design and build solutions to some of the worlds’ hardest engineering problems. Our culture encourages employees to dream big, perform with excellence and create incredible products. We provide the resources, inspiration and focus and if you have the passion and courage to dream big, we want to build a better tomorrow with you.Do you want to be part of a company that inspires employees to think big, perform with excellence and build incredible products? If so, then we would love to speak with you! Lockheed Martin Space is a highly dynamic and growing organization that provides mission-critical solutions from the development and maintenance of satellite systems through their life cycle.Our amazing employees are on a mission to make a difference in the world; every single day we use our ingenuity and experiences to create, design and build solutions to some of the worlds’ hardest engineering problems.The Enterprise Operations Analysis (EOA) team is searching for a high energy individual with a strong background in modeling and analysis methodologies. The selected candidate will lead modeling, simulation, and analysis studies that provide data driven insights to leaders across multiple Lines of Business within LM Space, helping shape their strategies to meet customer needs.Your Responsibilities Will Include The Following Perform studies as part of a team to model and analyze Space sensing performance and trades (i.e. collection, resource allocation, access, gaps, etc.) Regularly engage with internal and external stakeholders to understand their analysis needs, plan analysis tasks, and lead small teams to deliver valuable findings to stakeholders Present findings to key stakeholders assessing enterprise performance under a variety of configuration options to drive decision makingHere Are Some Of The Benefits You Can EnjoyTo promote the sharing of ideas, Lockheed Martin fosters an inclusive work environment that encourages differences and big-picture thinking. Our employees play an active role in strengthening the quality of life where we live and work by volunteering more than 850,000 hours annually. Medical Dental 401k Paid time off Work/life balance Career development Mentorship opportunities Rewards & recognitionhttps://www.lockheedmartinjobs.com/working-here#benefits Learn more about Lockheed Martin’s competitive and comprehensive benefits package.Your Responsibilities Will Include The Following Lead and perform studies to model and analyze space-based sensing performance and trades (e.g. collection, resource allocation, access, gaps, etc.) Regularly engage with internal and external stakeholders to understand their analysis needs, plan analysis tasks to deliver valuable findings to stakeholders Present findings to key stakeholders assessing enterprise performance under a variety of configuration options to drive decision making",onsite,"Springfield, VA",2023-05-23,https://www.linkedin.com/jobs/view/data-analyst-at-lockheed-martin-3639065789?refId=X8PV26BRucV%2FvOfFsAg4KA%3D%3D&trackingId=F3ksyOFkaY92ywvsBvW55g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,BlueTeam,"Data Analyst - Private Sector – BlueTeamWe are…BlueTeam is a U.S. based service provider specializing in commercial restoration, construction and roofing — both domestic and international — and our clients are the world’s premier commercial portfolio owners and operators.We are a turnkey provider for portfolio managers, owners, asset managers and operators, and we continue to grow our services to meet our clients’ needs. Our continued expansion of services, unrelenting project performance and transparent billing practices have allowed BlueTeam to become and remain an industry leader for clients in the hospitality, senior care, multi-family, industrial and other commercial property sectors.Join the exciting BlueTeam! The Data Analyst will be responsible for collecting and analyzing data across multiple business platforms to make informed decisions and/or assist other team members and leadership in making sound decisions.What You’ll Do….Collect and analyze large sets of data to identify patterns, trends, and insightsDevelop reports and dashboards to monitor key metrics and provide insights to stakeholdersWork closely with various departments to identify opportunities for improvement and growthCreate and maintain data models to support business decisionsCollaborate with IT to ensure data quality and integrityDevelop and implement data collection systems and other strategies to optimize efficiency and data qualityIdentify and recommend new data collection sources and data analysis toolsEvaluating changes and updates to source production systemsAssessing tests and implementing new or upgraded software and assisting with strategic decisions on new systemsSupport ad hoc data analysis requests as neededPerforms other related duties and assignments as required.What You’ll Need…QualificationsProficient with Excel and other MS Office applications.Strong analytical and problem-solving skills with the ability to work with large data setsExperience with data visualization and dashboard development (MongoDB Charts, Tableau, Power BI)Understanding of SQL and NoSQL database design and construction.Knowledge or experience with data science languages such as MQL, R or Python is a plus.Ability to communicate complex findings to both technical and non-technical stakeholdersStrong organizational skills and attention to detailExcellent written and verbal communication skillsEducation and ExperienceBachelor's degree in Mathematics, Statistics, Computer Science or related fieldHaving obtained a data analytics certification is a plus3+ years of experience in data analysis, business intelligence, or related fieldWhat You’ll Get In Return…Competitive Salary.Full range of Benefits including Medical, Dental, Vision, Short Term Disability (STD), Long Term Disability (LTD), Supplemental and Voluntary Life Insurance, 401(K) with Employer Match and Paid Time Off (PTO).About Blue Team:BlueTeam’s Mission is to cultivate and maintain mutually beneficial relationships with our clients. In order to accomplish that mission, BlueTeam strives to be mindful, respectful and understanding of our clients and their business needs.Becoming valuable partners with our clients starts with building the best team possible: recruiting top talent, training them, supporting them, listening to them, and empowering them to help our clients solve their restoration, construction and roofing needs. BlueTeam is not just a “team” but a family based on our core values: integrity, transparency, and accountability.We believe that with quality people and teamwork, we will achieve our goals of being a successful and well-structured profitable organization that will treat our clients fairly and with mutual respect, while recognizing our staff for their efforts and contributions.BlueTeam is an Equal Opportunity Employer.Powered by JazzHRpKyalGt0SX",onsite,"Boca Raton, FL",2023-06-16,https://www.linkedin.com/jobs/view/data-analyst-at-blueteam-3638364307?refId=X8PV26BRucV%2FvOfFsAg4KA%3D%3D&trackingId=CbtZuYvw1oa7dfCKA%2FEbpA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Python/SQL Data Analyst,Bardess Group Ltd,"Job DescriptionBardess is looking for a data analyst skilled in Python and SQL, who is interested in working alongside both data scientists and BI specialists to build out analytics solutions for customers.You will be working alongside highly experienced technical consultants, project managers and sales staff. Bardess consultants are self-motivated, results-oriented people, and diplomatic problem solvers.Responsibilities Perform data analytics using Python and SQL to meet client business requirements Work closely with Bardess data scientists to perform exploratory data analysis (EDA) and data transformations in Python and SQL Develop and schedule processes to extract, transform, and store data from various systems (SQL databases, S3 buckets, APIs, BI tools, etc.) Support BI specialists by implementing backend data solutions Communicate with client to help determine needs, plan out delivery, and present resultsQualifications And SkillsExperience: 2 years relevant experience as a data analystEducation: Bachelors degreeRequired skills: Strong experience with SQL Significant experience with Python for data manipulation (pandas), data visualization (matplotlib) and data connections (connecting to APIs, SQL connectors etc.) Excellent communication skills Ability to work both independently to identify customer requirements, and collaboratively to address those requirementsHelpful-to-have skills: Experience with BI tools, especially Qlik Experience with big data platforms, data warehouse, and cloud technologies such as Snowflake, Redshift, and Cloudera Exposure to data science and machine learning (desire to learn more is a major plus) Experience working in consulting or major industry Experience communicating with clients/stakeholders, and managing projects Experience with shell/command-line toolsLocation and TravelRemote (if desired, and when in non-pandemic conditions, there may be occasional client travel, primarily in NY/NJ/PA area)Employment TypeContractor or Full-time Bardess employeeApplyPlease email your resume, cover letter, and the opportunity of interest to: recruiting@bardess.comCompany DescriptionContract or full timeContract or full time",onsite,"New York, NY",2023-06-14,https://www.linkedin.com/jobs/view/python-sql-data-analyst-at-bardess-group-ltd-3636305656?refId=X8PV26BRucV%2FvOfFsAg4KA%3D%3D&trackingId=9CPuXDP19r%2Fcuf%2FuRy2n8g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Allnessjobs,"Title: Data AnalystLocation : Nashiville, TNPosition : HybridJob Description Formal training in qualitative research, especially in-depth interviews and observational studies Experience conducting process evaluations in an applied setting, with findings translated into actionable insights Background in statistical programming, especially R, a major plusType Category Qualification Description Competency Required Skills Others Process Evaluations Experience conducting process evaluations in an applied setting, with findings translated into actionable insights Proficient (4-6 Years) Yes Skills Others Qualitative Research Formal training in qualitative research, especially in-depth interviews and observational studies Proficient (4-6 Years) Yes Skills Others Statistical Programming Background in statistical programming, especially R, a major plus Proficient (4-6 Years) NoSkills Required Advanced experience in R/RStudio, including the ability to manage data, automate workflows, create reports, and ensure reproducibility of results Experience with collaborative coding environments and version control (Git) Prior exposure to SQL and data lake architectures a major plusType Category Qualification Description Competency Required Skills Others GIT Experience with collaborative coding environments and version control (Git) Proficient (4-6 Years) Yes Skills Others R/RStudio Advanced experience in R/RStudio, including the ability to manage data, automate workflows, create reports, and ensure reproducibility of results Advanced (7-9 Years) Yes Skills Others SQL Prior exposure to SQL and data lake architectures a major plus",onsite,"Tennessee, United States",2023-06-06,https://www.linkedin.com/jobs/view/data-analyst-at-allnessjobs-3627638321?refId=X8PV26BRucV%2FvOfFsAg4KA%3D%3D&trackingId=idLWW4SQ7%2F%2FzzU%2Bg1TNCRw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
