title,company,description,onsite_remote,location,posted_date,link
Product Design Engineer / Mechanical Engineer,Halo Braid,"Who We AreHalo Braid is a technology company empowering people with cutting-edge tools to engineer healthier and happier hair. Our first product is an automated hair braider that reduces appointment times from hours to minutes, empowering stylists to triple their business and addressing the 8 billion hours spent braiding hair each year. Our team of VC-backed serial founders brings experience from MIT, Harvard, and Apple. We’re on a mission to delight customers with products that celebrate their unique beauty and give them confidence one healthy strand at a time.About YouAs a Product Design Engineer, you will work closely with a small, highly collaborative team to create mechanical solutions and bring products to market. You’re motivated, creative, a strong problem solver, and passionate. You’re customer driven - you want to build things real people want. This is a unique opportunity to launch new innovative products and create massive impact in an overlooked industry.About The RoleYou’ll develop key aspects of our automated hair braider and drive product design architecture to closure. Your inputs will directly shape the foundation of our automated hair braider and inform the design direction of future Halo products. This role will collaborate with the founding team, engineers and designers to build the product.RequirementsIdeally you have:Design intelligence: mechanical intuition, creative problem solving, attention to detailExcellent communication skills: An ability to clearly convey design ideas and brainstormExperience with 3D CAD (Solidworks preferred). GD&T a plusExperience with design for manufacturing & material selectionIntegrated mechatronic components such as sensors, actuators, electromagnets, motorsExperience with the product design cycle from concept through manufacturingExperience identifying technical risk and developing mitigation and contingency strategiesBonus if you have experience with:Consumer hardware and electronicsHair styling toolsBenefitsCompetitive SalaryGenerous Stock Option PlanHealth Care Plan (100% Medical, Dental, and Vision)Retirement Plan (401k, IRA)Paid Time Off (Vacation, Sick & Public Holidays)Family Leave (Maternity, Paternity)Work From Home",onsite,"San Francisco, CA",2023-06-23,https://www.linkedin.com/jobs/view/product-design-engineer-mechanical-engineer-at-halo-braid-3645739097?refId=KQUnacVyMAhjy2Br1MpvuQ%3D%3D&trackingId=nZYFHgUbkQ03%2FAag37dGTw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Product Design Engineer / Mechanical Engineer,Halo Braid,"Who We AreHalo Braid is a technology company empowering people with cutting-edge tools to engineer healthier and happier hair. Our first product is an automated hair braider that reduces appointment times from hours to minutes, empowering stylists to triple their business and addressing the 8 billion hours spent braiding hair each year. Our team of VC-backed serial founders brings experience from MIT, Harvard, and Apple. We’re on a mission to delight customers with products that celebrate their unique beauty and give them confidence one healthy strand at a time.About YouAs a Product Design Engineer, you will work closely with a small, highly collaborative team to create mechanical solutions and bring products to market. You’re motivated, creative, a strong problem solver, and passionate. You’re customer driven - you want to build things real people want. This is a unique opportunity to launch new innovative products and create massive impact in an overlooked industry.About The RoleYou’ll develop key aspects of our automated hair braider and drive product design architecture to closure. Your inputs will directly shape the foundation of our automated hair braider and inform the design direction of future Halo products. This role will collaborate with the founding team, engineers and designers to build the product.RequirementsIdeally you have:Design intelligence: mechanical intuition, creative problem solving, attention to detailExcellent communication skills: An ability to clearly convey design ideas and brainstormExperience with 3D CAD (Solidworks preferred). GD&T a plusExperience with design for manufacturing & material selectionIntegrated mechatronic components such as sensors, actuators, electromagnets, motorsExperience with the product design cycle from concept through manufacturingExperience identifying technical risk and developing mitigation and contingency strategiesBonus if you have experience with:Consumer hardware and electronicsHair styling toolsBenefitsCompetitive SalaryGenerous Stock Option PlanHealth Care Plan (100% Medical, Dental, and Vision)Retirement Plan (401k, IRA)Paid Time Off (Vacation, Sick & Public Holidays)Family Leave (Maternity, Paternity)Work From Home",onsite,"Los Angeles, CA",2023-06-23,https://www.linkedin.com/jobs/view/product-design-engineer-mechanical-engineer-at-halo-braid-3645734521?refId=KQUnacVyMAhjy2Br1MpvuQ%3D%3D&trackingId=sYtE4p79AWEzCxBc8y1z6g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Mechanical Engineer,Motivo,"Motivo is looking to bring new Mechanical Engineering talent onto our project teams and contribute to the development of new, world-changing technologies.Who are we?We are a team of engineers, fabricators, e-techs, and technologists taking on the most ambitious and impactful projects we can get our hands on. We explicitly target hardware challenges and have enabled audacious visionaries in a number of industry verticals to achieve market viability and prominence. Our clients often credit us with their early success and we are honored to partner with some of the biggest players in EV, robotics, and aerospace R&D.What’s it like?An engineering role at Motivo means broad ownership and education. There are no cogs here. You’ll be responsible for ideation and feature definition, system-level design, client and vendor management, and hardware bring-ups. You’ll be the owner of your designs. You’ll have a seat at the table with CEOs/CTOs and have a voice to contribute to product strategy and viability. We are a premium engineering consultancy and our clients’ success depends on you actually voicing up and shaping the big pictureRequirementsSuccess at Motivo is largely driven by hard-work, creativity, and collaboration. But some baseline experience we’re looking for involves mechanism design (planning, modeling, verification), hands-on skills (prototyping, fabrication, testing), and analysis (static, dynamic, thermal). Everyone has a mix of experience, which we value, but we tend to look closely for people that get excited to learn new things and expand their skillset.Show us what you’ve got and let’s talk!We’re hoping these keywords might help us find you:CAD, mechanical analysis, hydraulics, chassis design, kinematics, injection molding, additive manufacturing, simulation, electrical/electronic/control systems, prototyping, machine vision, sensors/perception, motor/motion control, robots/robotics/automation, controls, SAEBenefitsWe’re convinced that the team and projects are hands down the best part of working at Motivo, but we also have some pretty sweet benefits including company-wide profit sharing, high-quality insurance plans, 401k match, generous paid vacation time, an onsite massage therapist, a Monday-Thursday 4/10 work week and more!Base Salary Range: $70,000 - $100,000Annual Profit Sharing estimate: $14,000 - $20,000Salary is dependent on experience, knowledge, and interview performance.",onsite,"Gardena, CA",2023-04-03,https://www.linkedin.com/jobs/view/mechanical-engineer-at-motivo-3590322789?refId=KQUnacVyMAhjy2Br1MpvuQ%3D%3D&trackingId=TpTRU5RhEBaLlWVcdxSakA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Product Design Engineer / Mechanical Engineer,Halo Braid,"Who We AreHalo Braid is a technology company empowering people with cutting-edge tools to engineer healthier and happier hair. Our first product is an automated hair braider that reduces appointment times from hours to minutes, empowering stylists to triple their business and addressing the 8 billion hours spent braiding hair each year. Our team of VC-backed serial founders brings experience from MIT, Harvard, and Apple. We’re on a mission to delight customers with products that celebrate their unique beauty and give them confidence one healthy strand at a time.About YouAs a Product Design Engineer, you will work closely with a small, highly collaborative team to create mechanical solutions and bring products to market. You’re motivated, creative, a strong problem solver, and passionate. You’re customer driven - you want to build things real people want. This is a unique opportunity to launch new innovative products and create massive impact in an overlooked industry.About The RoleYou’ll develop key aspects of our automated hair braider and drive product design architecture to closure. Your inputs will directly shape the foundation of our automated hair braider and inform the design direction of future Halo products. This role will collaborate with the founding team, engineers and designers to build the product.RequirementsIdeally you have:Design intelligence: mechanical intuition, creative problem solving, attention to detailExcellent communication skills: An ability to clearly convey design ideas and brainstormExperience with 3D CAD (Solidworks preferred). GD&T a plusExperience with design for manufacturing & material selectionIntegrated mechatronic components such as sensors, actuators, electromagnets, motorsExperience with the product design cycle from concept through manufacturingExperience identifying technical risk and developing mitigation and contingency strategiesBonus if you have experience with:Consumer hardware and electronicsHair styling toolsBenefitsCompetitive SalaryGenerous Stock Option PlanHealth Care Plan (100% Medical, Dental, and Vision)Retirement Plan (401k, IRA)Paid Time Off (Vacation, Sick & Public Holidays)Family Leave (Maternity, Paternity)Work From Home",onsite,"Boston, MA",2023-06-23,https://www.linkedin.com/jobs/view/product-design-engineer-mechanical-engineer-at-halo-braid-3645734522?refId=KQUnacVyMAhjy2Br1MpvuQ%3D%3D&trackingId=ySWGmfqPT%2F169%2Fu3YYGiwA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Mechanical Designer / Engineer,"Makai Ocean Engineering, Inc.","Makai is looking for an exceptional undergraduate, or graduate, mechanical designer or mechanical engineer to fill an immediately available position in the Kona Research group. This Makai team has a variety of challenging and exciting projects developing ocean energy and advanced manufacturing technologies. The ideal candidate will have strong design skills and knowledge of fabrication practices; with responsibility for detailed Solidworks modeling and machine design. Employees will get to work on state-of-the-art and challenging engineering problems as part of a collaborative, innovative, and experienced team on a range of projects.This is a permanent, full-time position in beautiful Kailua-Kona, on the Big Island of Hawaii. This is an in-person work arrangement, with some remote work flexibility dependent on project requirements.QualificationsRequirements:Possession of U.S. citizenship is required.Possession of an undergraduate, or higher, degree in mechanical, civil, aerospace engineering, or similar technical field is required.At least 3 years’ professional experience with Solidworks for mechanical design.High level of technical curiosity and strong mechanical design skills to produce unique and robust solutions. Ability to think logically and communicate and present ideas clearly and concisely verbally and during presentations, including for design review processes.Practical experience and knowledge of fabrication and assembly processes and production of shop-level drawings.Desirable:Proficiency with computer-aided design and experience with Finite Element Analysis or Computational Fluid Dynamics.Knowledge and proficiency of Excel, Matlab or Python.Knowledge of fabrication best practices and assembly requirements.Procurement phase experience.",onsite,"Kailua-Kona, HI",2023-05-22,https://www.linkedin.com/jobs/view/mechanical-designer-engineer-at-makai-ocean-engineering-inc-3608174302?refId=KQUnacVyMAhjy2Br1MpvuQ%3D%3D&trackingId=VhqyINVhbJ4csh8rHmB3Ig%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Mechanical Engineer - Relocation Offered,Collins Bus Corporation,"Offering Relocation to Qualified CandidatesThe Collins name has long been synonymous with the school bus industry. After half a century of delivering Type A school buses with A+ marks for strength and safety, it only makes sense that Collins has become the nation’s most trusted bus manufacturer across every segment. From Type A school buses to today’s Collins commercial bus, passengers and businesses can place their trust in Collins’ engineering and innovation as much as the company itself.Job Summary:Designs, develops, and tests all aspects of mechanical components, equipment, and machinery. Applies knowledge of engineering principles to design products such as engines, instruments, controls, robots, machines, etc. Conducts product testing and creates models and prototypes. May be involved in fabrication, operation, application, installation, and/or repair of mechanical products. Gains exposure to some of the complex tasks within the job function. Occasionally directed in several aspects of the work.Essential Duties and Responsibilities:This list of duties and responsibilities is not all inclusive and may include other duties and responsibilities, as management may deem necessary from time to time.Assist with designing, developing, executing, and evaluating fitness-for-use testing, product specifications and process validation plans for a variety of moderate complexity products and/or components; assist with creating and reviewing material part specifications and bills of materials.Use CAD (Computer Aided Design) or CAE (Computer Aided Engineering) software to develop the structural design of various products, model new designs, and produce detailed engineering drawings.Verify designs through use of calculations and other analytical techniques and tools.Understand manufacturing processes with emphasis on metal fabrication and assemblies. Apply DFM methodologies to deliver robust engineering packages emphasizing productivity in the manufacturing process.Fulfill customer requirements (i.e., shop orders) considering design rules and all applicable interface points.Define test requirements and interpret test results to validate designs.Identify problems, root causes and be able to define & execute resolutions.Understand and use lean principles as they apply to manufacturing and business processes.Execute engineering changes through established processes and documentation.Commit to excellence and high standards.Required Knowledge, Skills, and Abilities:Skills in computer simulation, cost estimation, design optimization, design review, engineering analysis & design, feasibility study, mathematical analysis & modeling, prototyping, quality assurance process and reliability analysis.Knowledge of manufacturing industry and vocational standards.CAD and CAE software experience.Experience with problem solving techniques (5 why & root cause analysis).Experience with statistical techniques and data analysis.Strong communication and interpersonal skills with ability to work directly with hourly production employees and leadership concerning manufacturing initiatives and progress updates.Strong work ethic, highly motivated, organized, and self-disciplined.Versatile, flexible, and willing to work with changing priorities.Self-motivated with the ability to stay on task.Ability to effectively prioritize and execute concurrent assignments in a high-pressure environment.Strong and consistent attention to detail.Creative and innovative team player.Ability to use sound judgment and make timely decisions.Ability to work effectively independently and in a team environment.Solid PC skills with knowledge of Microsoft Office products including Excel, Word, Teams, and Outlook.Ability to read and understand engineering drawings and layout and other written or verbal instructions.Capable of effectively presenting information in one-on-one and small group situations to other employees in the organization.Education and/or Experience:Bachelor's Degree of Engineering, Engineering Technology, or equivalent education required.Typically requires 2-4 years of related experience.REV Group is committed to a policy of equal employment opportunity. The Company conducts all employment practices without regard to race, sex, color, religion, national origin, age, disability, protected veteran's status, pregnancy, genetic information, sexual orientation, or any other basis prohibited by law. REV Group also undertakes affirmative action to assure equal employment opportunities for minorities and women, for persons with disabilities, and for protected veterans. NOTICE FOR CALIFORNIA RESIDENTSEffective January 1, 2020, pursuant to the California Consumer Privacy Act of 2018 (as amended, the ""CCPA""), if you are a California resident, you may have certain additional rights. Please click on the link for a description of those rights and how California residents may exercise them.",onsite,"South Hutchinson, KS",2023-06-16,https://www.linkedin.com/jobs/view/mechanical-engineer-relocation-offered-at-collins-bus-corporation-3619502583?refId=KQUnacVyMAhjy2Br1MpvuQ%3D%3D&trackingId=IE0sEAUzgLkI%2BfgHbjemFw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Mechanical Engineer,Marley Spoon,"Marley Spoon is a direct-to-consumer manufacturing business with a waste free supply chain. We deliver top quality fresh ingredients in the exact quantities required with chef-designed easy-to-cook recipes, to thousands of households across the globe. Together we build brands customers love. Currently we operate various brands that are serving households in the US, Europe, and Australia Martha Stewart & Marley Spoon, and Dinnerly.Marley Spoon simplifies weeknight cooking and helps busy people skip the supermarket. But in the end, it's simple: We started Marley Spoon because we love cooking and we love eating!We are looking for a Junior Mechanical Engineer to join our NJ Fulfillment Center located in Newark, NJ. This position will support the execution of engineering & automation projects, oversee and supervise the maintenance team and all maintenance related activities, ensure that all of our systems are running effectively and efficiently by improving performance and minimizing downtime, and continuously drive improvements in the fulfillment center.The Junior Mechanical Engineer will be working closely with the national Engineering & Automation team to deliver the team’s strategic plans, achieve its maintenance targets, implement new systems and solutions, and solve problems using an engineering oriented mindset. This is a fully onsite position. What you will do:Support the implementation and roll out of new systems and solutionsExplore and deliver engineering solutions to technical problems that enhance and improve the processes and operations in the facilityLead and supervise the maintenance team, and execute all corrective and preventive maintenance programs to the highest levels of quality and compliance while meeting deadlines.Provide a safe work environment by ensuring that all hazardous failures and breakdown are immediately addressed and resolved. Manage 3rd party contractors that provide engineering/maintenance related services.Manage all assets in the facility by maintaining up to date reports of the statuses and conditions of them.Spare parts management, including maintaining up to date reports of inventory levels, purchasing and replenishing spare parts as needed, and properly keeping track of spare parts consumption. RequirementsWho you are:Undergraduate degree in Mechanical Engineering or related fieldPreferably 1-2 years experienceStrong troubleshooting and diagnostic skills. Good maintenance and repairs skills. Self-starter and eager to learn and developResponsible, passionate, and fully committed to what you do Familiar with Google Suite, MS applications (Excel, Word), and preferably CAD.Ability to read, analyze and interpret common information, reports and other documentsDeadline and detail-orientedAbility to walk, stand for long periods of time, bend, squat, reach and turn to perform duties.Must be able to lift up to 50 poundsAble to work overtime including weekends/holidays when needed.BenefitsComprehensive Benefits plan including medical, dental, vision, transit, 401(k)Vacation and Sick LeaveAutonomy in every role - act in an environment where we get things done without having formal hurdlesAn open, diverse and respectful working environment The possibility to learn about everything that you are curious about, regardless of which function or departmentParental LeaveDiscounted Martha Stewart & Marley Spoon and/or Dinnerly subscription boxes",onsite,"Newark, NJ",2023-05-09,https://www.linkedin.com/jobs/view/junior-mechanical-engineer-at-marley-spoon-3626006385?refId=KQUnacVyMAhjy2Br1MpvuQ%3D%3D&trackingId=HMeqosEk%2FeS5BK07F5Q%2B1A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Mechanical Design Engineer,Applied Precision Design,"Job DescriptionLooking for a responsible & passionate mechanical design engineer to help us design and build complex mechanical systems for various local silicon-valley companies. The candidate must have a good understanding of physics/engineering principles, and a good intuition for mechanical design. Familiar with design components, manufacturing processes, materials, and finishes. Fluent in 3D CAD / Solidworks, drawings, creating BOMs. We are looking for a skilled mechanic engineer that can work with the co-founders to take sketches & concepts in early stages and develop them into full working prototypes.Applied Precision Design is a small engineering design company, with an excellent reputation in Silicon Valley. Our clients are often brilliant research scientists who need help in building incredibly challenging hardware, often in various industries such as semiconductor, optics, metrology, machine design, and general research. We are growing and would like to welcome a capable mechanical engineer that can take a sketch and develop it into a full design/prototype. As a small company, we have a kind, fun, and flexible work environment - and we take pride in producing high quality work.The candidate would take direction from Sr. Level engineers and will help them develop concepts from early stages to prototypes and final products. Will be involved in engineering meetings to collect requirements. Will be responsible for generating quick layouts & preliminary concepts in Solidworks. Hold periodic and formal design reviews. Take ownership of the project and drive it forward. Develop sound engineering concepts with requirements in mind. Detail design, calculations, drawings, and hands-on assembly of the prototypes. Ideally familiar with cleanrooms, vacuum systems, industrial components, precision machine design and opto-mechanical design.Qualifications:Passionate – enjoys creating / building / designing mechanical systems. Experienced – has designed/built precision mechanical systems (entire development cycle)Familiar with Machine Design: Fluent in 3D CAD / Solidworks, Concept/Detail design, collecting requirement, good presentations/design reviews, drawings, drafting standards, etc. Careful engineering, organized, systematic, and very detail oriented. Familiar with machining / manufacturing processes, materials, anodize/finishes, cleaning procedures, etc. Experience with hands-on building. Hard-working, Responsible – (skin in the game) Dedicated to finishing project. Passionate about learning new things and taking direction from other engineers. Able to read and produce engineering sketches (to convey complex designs concepts). Good communication skills. Able to generate concepts in Solidworks quickly. Familiar with basics of mechanical engineering – basic ME design calculations, structural calculations, basic knowledge of heat transfer, dynamics, vibrations, etc. B.S. or M.S. Mechanical Engineering with relevant experienceIndustry: machine design, precision / opto-mechanical design, semiconductor, optics, vacuum.",onsite,"Redwood City, CA",2023-06-08,https://www.linkedin.com/jobs/view/mechanical-design-engineer-at-applied-precision-design-3631492836?refId=KQUnacVyMAhjy2Br1MpvuQ%3D%3D&trackingId=FoEb%2FLJM0T01DCdNbD02SA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Manufacturing Engineer,Zobility,"Job DescriptionManufacturing EngineerLansing, MIResponsibilities:Enthusiastically support and contribute to manufacturing processes and tools. Review, develop, write and edit process plans and standard work. Process improvements: Conducts evaluations, suggests designs and spearheads development of manufacturing processes including production flow, assembly methods and production equipmentMitigate waste: maximize efficiency and minimize wasteLean Six sigma understanding: Implement lean processes, conduct time studies, identify continuous improvement initiatives. Required:Bachelor's degree in Engineeringsome coop/intern in manufacturing environment would be highly preferredExperience in a LEAN environment and a familiarity with the methodology would be a plus. US Citizen",onsite,"Lansing, MI",2023-06-08,https://www.linkedin.com/jobs/view/manufacturing-engineer-at-zobility-3631496196?refId=KQUnacVyMAhjy2Br1MpvuQ%3D%3D&trackingId=yzgKqv47Lcju%2FOZsmTxNBQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Mechanical Engineer,Shift Robotics,"We’re making the world a more walkable place. Through intuitive personal mobility, we make walking faster, more efficient, and more accessible to empower people to choose walking over sitting in traffic. By giving people the ability to Moonwalk, we believe the path forward to a better future is easily reached on your own two feet.Help us advance the world’s fastest shoes by designing, prototyping, and testing reliable and innovative hardware. We want an engineer ready to push the boundaries and one who makes the impossible a reality. We are looking for a work ethic similar to an engineer in Formula One. You must deliver and iterate quickly. We are not here for mediocrity, we are here to create elegant engineering designs. Is it demanding? Sure, but it is also rewarding and fun.We are covered in Wired, CNET, Gizomodo, PCMag and many other tech press.ResponsibilitiesCreate reliable and scalable designsEnjoy creating hardware products from brainstorming to final manufacturing DFM and scaling.FEA simulation of components with particular attention to fatigue, torsion, and bending of both engineering plastics and metals.Design components for manufacturing and assembling (DFM/DFA).Be willing to try new ideas and concessions from a packaging/integration perspective.Keep a pulse on other products in the space and evolving industry best practices in terms of materials, manufacturing methods, and hardware designTroubleshoot problems in manufacturing, assembly, and field use of Moonwalkers.Mechanical modeling and testing of components.Coordinate with software and electrical engineers to ensure that all requirements are met.RequirementsExperience with designing, manufacturing, troubleshooting, and debugging prototype hardware.BS/MS/Ph.D. in Mechanical Engineering or a related discipline or equivalent experience.FEA experience with static, dynamic, and thermal simulation (3+ years in Ansys or similar).CAD proficiency (2+ years in Fusion 360 / Solidworks / Inventor, etc.)Background in scalable DFM / DFA products or deep knowledge in casting, injection molding, and machining.Gearbox development experience (sintered metal/cut gears).Project management and planning.Rapid prototyping development (from basic models to 3DP and CNC prototypes).Nice to haveGenerative design simulationConsumer electronics design experience, with a deep understanding of system-level architecture and tradeoffs (mechanical, thermal, manufacturability, power, reliability, cost, etc.)GD&T, 2D drawing understandingExperience designing sealed enclosures for electronics and mechanical systems.Understanding of Polyurethane (PU) as it relates to wheelsBenefitsOpportunities for participation in our Employee Options programs401K retirement planExcellent medical, dental, and vision insuranceSick and Vacation time (Flex time for salary positions), and Paid HolidaysMassive Growth Opportunities and a long-term careerCasual and comfortable work environment",onsite,"Austin, TX",2023-06-01,https://www.linkedin.com/jobs/view/mechanical-engineer-at-shift-robotics-3646120208?refId=KQUnacVyMAhjy2Br1MpvuQ%3D%3D&trackingId=aWgrCsVBRCtXIva0Mf59gg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
