"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","uninsured","population_18under"
"2008","01001","01","001","Autauga County","Alabama","AL","Metropolitan","1035","13774"
"2009","01001","01","001","Autauga County","Alabama","AL","Metropolitan","860","14722"
"2011","01001","01","001","Autauga County","Alabama","AL","Metropolitan","712","15037"
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","504","14525"
"2013","01001","01","001","Autauga County","Alabama","AL","Metropolitan","573","14638"
"2012","01001","01","001","Autauga County","Alabama","AL","Metropolitan","559","15066"
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","371","14295"
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","811","15213"
"2013","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","2594","45414"
"2009","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","3356","43254"
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","1523","46526"
"2008","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","3793","42546"
"2012","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","2388","44579"
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","2254","45897"
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","3950","43447"
"2011","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","2455","43906"
"2008","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","559","6757"
"2012","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","273","6005"
"2013","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","316","5987"
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","209","5751"
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","398","6256"
"2011","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","373","6112"
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","264","5871"
"2009","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","437","6781"
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","191","4830"
"2008","01007","01","007","Bibb County","Alabama","AL","Metropolitan","478","5219"
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","325","5295"
"2012","01007","01","007","Bibb County","Alabama","AL","Metropolitan","211","5017"
"2013","01007","01","007","Bibb County","Alabama","AL","Metropolitan","213","4942"
"2009","01007","01","007","Bibb County","Alabama","AL","Metropolitan","365","5220"
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","151","4807"
"2011","01007","01","007","Bibb County","Alabama","AL","Metropolitan","294","5159"
"2013","01009","01","009","Blount County","Alabama","AL","Metropolitan","875","14355"
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","1191","14635"
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","624","13899"
"2009","01009","01","009","Blount County","Alabama","AL","Metropolitan","1075","14640"
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","799","14133"
"2008","01009","01","009","Blount County","Alabama","AL","Metropolitan","1356","14280"
"2012","01009","01","009","Blount County","Alabama","AL","Metropolitan","850","14463"
"2011","01009","01","009","Blount County","Alabama","AL","Metropolitan","1010","14604"
"2013","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","123","2335"
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","107","2385"
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","73","2272"
"2012","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","95","2309"
