"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","uninsured","population_18to64"
"2008","01001","01","001","Autauga County","Alabama","AL","Metropolitan","4933","31300"
"2009","01001","01","001","Autauga County","Alabama","AL","Metropolitan","5492","30571"
"2011","01001","01","001","Autauga County","Alabama","AL","Metropolitan","6065","33764"
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","4780","33627"
"2013","01001","01","001","Autauga County","Alabama","AL","Metropolitan","5845","33539"
"2012","01001","01","001","Autauga County","Alabama","AL","Metropolitan","5656","33559"
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","4102","33642"
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","5771","33150"
"2013","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","25226","114630"
"2009","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","21385","105979"
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","17437","118459"
"2008","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","20234","103543"
"2012","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","22278","111922"
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","23889","116765"
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","25021","108518"
"2011","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","23050","110159"
"2008","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","3444","15946"
"2012","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","3227","14129"
"2013","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","3152","13927"
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","2289","13154"
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","3424","14518"
"2011","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","3468","14321"
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","2701","13586"
"2009","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","3613","15983"
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","2150","12520"
